loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
6925,9776907,K05712.01,,CANDIDATE,CANDIDATE,,0,0,0,0,287.75613,1.24E-02,-1.24E-02,385.4564,2.98E-02,-2.98E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.40469,46.56572,16.925
6926,9780149,K05713.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.53021,4.02E-03,-4.02E-03,132.0918,2.50E-02,-2.50E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.6026,46.517567,12.294
6927,9786017,K05714.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.249000963,5.31E-07,-5.31E-07,132.651415,1.86E-04,-1.86E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.50803,46.521568,12.502
6928,9832379,K05715.01,,CANDIDATE,CANDIDATE,,0,0,0,0,189.961729,8.87E-03,-8.87E-03,288.3907,1.96E-02,-1.96E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.38818,46.615101,15.713
6929,9837659,K05716.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,121.6238738,,,207.4934505,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.52805,46.608521,12.209
6930,9838414,K05717.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,1.33261458,8.63E-05,-8.63E-05,132.0098,7.39E-02,-7.39E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.80966,46.613079,17.511
6931,9838582,K05718.01,,CANDIDATE,CANDIDATE,,0,0,0,0,233.64574,2.32E-02,-2.32E-02,297.494,1.06E-01,-1.06E-01,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.87628,46.607254,17.106
6932,9839030,K05719.01,,CANDIDATE,CANDIDATE,,0,0,0,0,27.285315,9.26E-03,-9.26E-03,153.656,4.66E-01,-4.66E-01,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.05518,46.66975,14.71
6933,9845362,K05720.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,105.895315,2.77E-03,-2.77E-03,231.4441,1.86E-02,-1.86E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.2294,46.616402,15.979
6934,9845931,K05721.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,61.224558,1.28E-03,-1.28E-03,181.701,1.25E-02,-1.25E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.38342,46.68388,15.873
6935,9847239,K05722.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,28.50787754,5.93E-06,-5.93E-06,132.793009,1.56E-04,-1.56E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,297.74112,46.660488,14.876
6936,9848760,K05723.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,444.46522,3.20E-02,-3.20E-02,389.693,6.44E-02,-6.44E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.155,46.600121,15.466
6937,9850843,K05724.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,8.48039,1.27E-04,-1.27E-04,135.853,1.25E-02,-1.25E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.71469,46.650639,14.863
6938,9851638,K05725.01,,CANDIDATE,CANDIDATE,,0,0,0,0,351.25069,1.42E-02,-1.42E-02,226.8377,2.70E-02,-2.70E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.9433,46.679771,15.806
6939,9875101,K05726.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,212.771978,3.44E-03,-3.44E-03,328.1461,1.16E-02,-1.16E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.49139,46.757889,15.788
6940,9881660,K05727.01,,CANDIDATE,CANDIDATE,,0,0,0,0,65.3558881,6.37E-04,-6.37E-04,154.47727,8.97E-03,-8.97E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.36737,46.76865,15.676
6941,9896438,K05728.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,18.0766788,1.27E-04,-1.27E-04,146.25271,8.53E-03,-8.53E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,294.12787,46.796848,16.667
6942,9899514,K05729.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,1.33255577,4.61E-05,-4.61E-05,132.0672,4.13E-02,-4.13E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.26416,46.745941,15.916
6943,9899607,K05730.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,1.33259275,1.12E-05,-1.12E-05,132.01197,7.02E-03,-7.02E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,295.2951,46.775841,15.3
6944,9908486,K05731.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,36.6092739,5.99E-04,-5.99E-04,138.77398,7.73E-03,-7.73E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.11667,46.721958,13.823
6945,9910043,K05732.01,,CANDIDATE,CANDIDATE,,0,0,0,0,39.399926,1.19E-03,-1.19E-03,160.2611,2.23E-02,-2.23E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.5697,46.753971,15.453
6946,9911112,K05733.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,1.166835206,7.78E-07,-7.78E-07,131.912321,8.71E-04,-8.71E-04,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,298.87128,46.75198,14.99
6947,9933600,K05734.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,230.7057888,,,260.3639847,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,282.1142,46.816589,14.626
6948,9934274,K05735.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,4.99471597,4.50E-05,-4.50E-05,136.1833,9.50E-03,-9.50E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,282.58215,46.81551,13.352
6949,9935983,K05736.01,,CANDIDATE,CANDIDATE,,0,0,0,0,161.651504,2.23E-03,-2.23E-03,289.32322,8.72E-03,-8.72E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,283.67346,46.82272,13.756
6950,9941136,K05737.01,,CANDIDATE,CANDIDATE,,0,0,0,0,376.24253,1.40E-02,-1.40E-02,392.8316,2.86E-02,-2.86E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.63068,46.843369,13.772
6951,9941387,K05738.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,27.65960779,5.84E-07,-5.84E-07,141.2478883,1.74E-05,-1.74E-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.81644,46.884369,14.706
6952,9941550,K05739.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,476.727302,7.04E-03,-7.04E-03,496.4298,9.12E-03,-9.12E-03,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,286.90347,46.816341,13.587
6953,9942658,K05740.01,,CANDIDATE,CANDIDATE,,0,0,0,0,21.7997515,4.97E-04,-4.97E-04,144.3188,1.83E-02,-1.83E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,287.57361,46.822159,14.82
6954,9953491,K05741.01,,CANDIDATE,CANDIDATE,,0,0,0,0,362.0619,1.79E-02,-1.79E-02,154.1605,3.61E-02,-3.61E-02,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,292.75555,46.81184,15.766
