loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition
2561,8167996,K01867.02,Kepler-327 d,CONFIRMED,CANDIDATE
2562,8167996,K01867.03,Kepler-327 c,CONFIRMED,CANDIDATE
2563,6773862,K01868.01,Kepler-988 b,CONFIRMED,CANDIDATE
2564,8009496,K01869.01,,FALSE POSITIVE,FALSE POSITIVE
2565,10187159,K01870.01,Kepler-989 b,CONFIRMED,CANDIDATE
2566,9758089,K01871.01,Kepler-1996 c,CONFIRMED,CANDIDATE
2567,9758089,K01871.02,Kepler-1996 b,CONFIRMED,CANDIDATE
2568,9883311,K01872.01,,CANDIDATE,CANDIDATE
2569,4939346,K01873.01,Kepler-328 c,CONFIRMED,CANDIDATE
2570,4939346,K01873.02,Kepler-328 b,CONFIRMED,CANDIDATE
2571,8978528,K01874.01,Kepler-329 c,CONFIRMED,CANDIDATE
2572,8978528,K01874.02,Kepler-329 b,CONFIRMED,CANDIDATE
2573,9967771,K01875.01,Kepler-990 b,CONFIRMED,CANDIDATE
2574,9967771,K01875.02,Kepler-990 c,CONFIRMED,CANDIDATE
2575,11622600,K01876.01,Kepler-991 b,CONFIRMED,CANDIDATE
2576,10454632,K01877.01,Kepler-992 b,CONFIRMED,CANDIDATE
2577,3098810,K01878.01,Kepler-1773 b,CONFIRMED,CANDIDATE
2578,8367644,K01879.01,Kepler-993 b,CONFIRMED,CANDIDATE
2579,10332883,K01880.01,Kepler-994 b,CONFIRMED,CANDIDATE
2580,4035640,K01881.01,Kepler-995 b,CONFIRMED,CANDIDATE
2581,6205228,K01882.01,Kepler-996 b,CONFIRMED,CANDIDATE
2582,11758544,K01883.01,Kepler-997 b,CONFIRMED,CANDIDATE
2583,4851530,K01884.01,,CANDIDATE,CANDIDATE
2584,4851530,K01884.02,,CANDIDATE,CANDIDATE
2585,11413812,K01885.01,Kepler-998 b,CONFIRMED,CANDIDATE
2586,9549648,K01886.01,Kepler-999 b,CONFIRMED,CANDIDATE
2587,10965740,K01887.01,,FALSE POSITIVE,FALSE POSITIVE
2588,10063802,K01888.01,Kepler-1000 b,CONFIRMED,CANDIDATE
2589,11074178,K01889.01,Kepler-1001 b,CONFIRMED,CANDIDATE
2590,11074178,K01889.02,Kepler-1001 c,CONFIRMED,CANDIDATE
2591,7449136,K01890.01,Kepler-1002 b,CONFIRMED,CANDIDATE
2592,8680979,K01891.01,Kepler-330 c,CONFIRMED,CANDIDATE
2593,8680979,K01891.02,Kepler-330 b,CONFIRMED,CANDIDATE
2594,9030537,K01892.01,Kepler-1674 b,CONFIRMED,CANDIDATE
2595,8689793,K01893.01,Kepler-1003 b,CONFIRMED,CANDIDATE
2596,11673802,K01894.01,Kepler-1004 b,CONFIRMED,CANDIDATE
2597,4263293,K01895.01,Kepler-331 b,CONFIRMED,CANDIDATE
2598,4263293,K01895.02,Kepler-331 c,CONFIRMED,CANDIDATE
2599,4263293,K01895.03,Kepler-331 d,CONFIRMED,CANDIDATE
2600,10294613,K01896.01,,FALSE POSITIVE,FALSE POSITIVE
2601,5695524,K01897.01,Kepler-1774 b,CONFIRMED,CANDIDATE
2602,7668663,K01898.01,Kepler-1005 b,CONFIRMED,CANDIDATE
2603,7047922,K01899.01,Kepler-1006 b,CONFIRMED,CANDIDATE
2604,7047922,K01899.02,,CANDIDATE,CANDIDATE
2605,9353314,K01900.01,Kepler-1007 b,CONFIRMED,CANDIDATE
2606,3629967,K01901.01,Kepler-1775 b,CONFIRMED,CANDIDATE
2607,5809954,K01902.01,,FALSE POSITIVE,FALSE POSITIVE
2608,3836453,K01903.01,,FALSE POSITIVE,FALSE POSITIVE
