loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE
4,3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE
5,8554498,K00005.01,,CANDIDATE,CANDIDATE
6,8554498,K00005.02,,FALSE POSITIVE,FALSE POSITIVE
7,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE
8,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE
9,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE
10,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE
11,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE
12,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE
13,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE
14,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE
15,7684873,K00014.01,,FALSE POSITIVE,FALSE POSITIVE
16,3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE
17,9110357,K00016.01,,FALSE POSITIVE,FALSE POSITIVE
18,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE
19,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE
20,7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE
21,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE
22,10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE
23,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE
24,9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE
25,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE
26,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE
27,5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE
28,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE
29,4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE
30,6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE
31,5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE
32,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE
33,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE
34,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE
35,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE
36,9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE
37,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE
38,3742855,K00045.01,,FALSE POSITIVE,FALSE POSITIVE
39,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE
40,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE
41,7837302,K00048.01,,FALSE POSITIVE,FALSE POSITIVE
42,9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE
43,6056992,K00051.01,,FALSE POSITIVE,FALSE POSITIVE
44,3558981,K00052.01,,FALSE POSITIVE,FALSE POSITIVE
45,2445975,K00053.01,,FALSE POSITIVE,FALSE POSITIVE
46,8248939,K00061.01,,FALSE POSITIVE,FALSE POSITIVE
47,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE
48,7051180,K00064.01,,CANDIDATE,CANDIDATE
49,10223615,K00065.01,,FALSE POSITIVE,FALSE POSITIVE
50,10620329,K00066.01,,FALSE POSITIVE,FALSE POSITIVE
51,8669092,K00068.01,,FALSE POSITIVE,FALSE POSITIVE
52,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE
53,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE
54,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE
55,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE
56,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE
57,6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE
58,11904151,K00072.01,Kepler-10 b,CONFIRMED,CANDIDATE
59,11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE
60,6889235,K00074.01,,FALSE POSITIVE,FALSE POSITIVE
61,7199397,K00075.01,,CANDIDATE,CANDIDATE
62,9955262,K00076.01,,CANDIDATE,CANDIDATE
63,9552608,K00080.01,,CANDIDATE,CANDIDATE
64,8823868,K00081.01,,FALSE POSITIVE,FALSE POSITIVE
65,10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE
66,10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE
67,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE
68,10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE
69,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE
70,10187017,K00082.06,,FALSE POSITIVE,FALSE POSITIVE
71,2571238,K00084.01,Kepler-19 b,CONFIRMED,CANDIDATE
72,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE
73,5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE
74,5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE
75,10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE
76,7700871,K00088.01,,FALSE POSITIVE,FALSE POSITIVE
77,8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE
78,8056665,K00089.02,Kepler-462 c,CONFIRMED,CANDIDATE
79,9210823,K00090.01,,FALSE POSITIVE,FALSE POSITIVE
80,7941200,K00092.01,Kepler-1709 b,CONFIRMED,CANDIDATE
81,6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE
82,6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE
83,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE
84,6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE
85,5780885,K00097.01,Kepler-7 b,CONFIRMED,CANDIDATE
86,10264660,K00098.01,Kepler-14 b,CONFIRMED,CANDIDATE
87,8505215,K00099.01,,CANDIDATE,CANDIDATE
88,8505215,K00099.02,,FALSE POSITIVE,FALSE POSITIVE
89,4055765,K00100.01,,CANDIDATE,CANDIDATE
90,8456679,K00102.01,Kepler-1990 b,CONFIRMED,CANDIDATE
91,8456679,K00102.02,Kepler-1990 c,CONFIRMED,CANDIDATE
92,2444412,K00103.01,Kepler-1710 b,CONFIRMED,CANDIDATE
93,10318874,K00104.01,Kepler-94 b,CONFIRMED,CANDIDATE
94,8711794,K00105.01,Kepler-463 b,CONFIRMED,CANDIDATE
95,10489525,K00106.01,,FALSE POSITIVE,FALSE POSITIVE
96,11250587,K00107.01,Kepler-464 b,CONFIRMED,CANDIDATE
97,4914423,K00108.01,Kepler-103 b,CONFIRMED,CANDIDATE
98,4914423,K00108.02,Kepler-103 c,CONFIRMED,CANDIDATE
99,4752451,K00109.01,,FALSE POSITIVE,FALSE POSITIVE
100,9450647,K00110.01,Kepler-465 b,CONFIRMED,CANDIDATE
101,6678383,K00111.01,Kepler-104 b,CONFIRMED,CANDIDATE
102,6678383,K00111.02,Kepler-104 c,CONFIRMED,CANDIDATE
103,6678383,K00111.03,Kepler-104 d,CONFIRMED,CANDIDATE
104,6678383,K00111.04,,FALSE POSITIVE,FALSE POSITIVE
105,10984090,K00112.01,Kepler-466 b,CONFIRMED,CANDIDATE
106,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE
107,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE
108,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE
109,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE
110,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE
111,9579641,K00115.03,,CANDIDATE,CANDIDATE
112,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE
113,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE
114,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE
115,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE
116,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE
117,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE
118,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE
119,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE
120,3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE
121,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE
122,9471974,K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE
123,11869052,K00120.01,,FALSE POSITIVE,FALSE POSITIVE
124,3247396,K00121.01,,FALSE POSITIVE,FALSE POSITIVE
125,8349582,K00122.01,Kepler-95 b,CONFIRMED,CANDIDATE
126,5094751,K00123.01,Kepler-109 b,CONFIRMED,CANDIDATE
127,5094751,K00123.02,Kepler-109 c,CONFIRMED,CANDIDATE
128,11086270,K00124.01,Kepler-110 b,CONFIRMED,CANDIDATE
129,11086270,K00124.02,Kepler-110 c,CONFIRMED,CANDIDATE
130,11449844,K00125.01,Kepler-468 b,CONFIRMED,FALSE POSITIVE
131,5897826,K00126.01,Kepler-469 b,FALSE POSITIVE,FALSE POSITIVE
132,5897826,K00126.02,,CANDIDATE,CANDIDATE
133,8359498,K00127.01,Kepler-77 b,CONFIRMED,CANDIDATE
134,11359879,K00128.01,Kepler-15 b,CONFIRMED,CANDIDATE
135,11974540,K00129.01,Kepler-470 b,CONFIRMED,FALSE POSITIVE
136,11974540,K00129.02,,CANDIDATE,CANDIDATE
137,5297298,K00130.01,,FALSE POSITIVE,FALSE POSITIVE
138,7778437,K00131.01,Kepler-471 b,CONFIRMED,CANDIDATE
139,8892910,K00132.01,,FALSE POSITIVE,FALSE POSITIVE
140,11673674,K00133.01,,FALSE POSITIVE,FALSE POSITIVE
141,9032900,K00134.01,,CANDIDATE,CANDIDATE
142,9818381,K00135.01,Kepler-43 b,CONFIRMED,CANDIDATE
143,7601633,K00136.01,,FALSE POSITIVE,FALSE POSITIVE
144,8644288,K00137.01,Kepler-18 c,CONFIRMED,CANDIDATE
145,8644288,K00137.02,Kepler-18 d,CONFIRMED,CANDIDATE
146,8644288,K00137.03,Kepler-18 b,CONFIRMED,CANDIDATE
147,8506766,K00138.01,,FALSE POSITIVE,FALSE POSITIVE
148,8559644,K00139.01,Kepler-111 c,CONFIRMED,CANDIDATE
149,8559644,K00139.02,Kepler-111 b,CONFIRMED,CANDIDATE
150,5130369,K00140.01,,FALSE POSITIVE,FALSE POSITIVE
151,12105051,K00141.01,,CANDIDATE,CANDIDATE
152,5446285,K00142.01,Kepler-88 b,CONFIRMED,CANDIDATE
153,5446285,K00142.02,,FALSE POSITIVE,FALSE POSITIVE
154,4649305,K00143.01,,FALSE POSITIVE,FALSE POSITIVE
155,4180280,K00144.01,Kepler-472 b,CONFIRMED,CANDIDATE
156,9904059,K00145.01,,FALSE POSITIVE,FALSE POSITIVE
157,9048161,K00146.01,,FALSE POSITIVE,FALSE POSITIVE
158,1996679,K00147.01,,FALSE POSITIVE,FALSE POSITIVE
159,5735762,K00148.01,Kepler-48 b,CONFIRMED,CANDIDATE
160,5735762,K00148.02,Kepler-48 c,CONFIRMED,CANDIDATE
161,5735762,K00148.03,Kepler-48 d,CONFIRMED,CANDIDATE
162,3835670,K00149.01,Kepler-473 b,CONFIRMED,CANDIDATE
163,7626506,K00150.01,Kepler-112 b,CONFIRMED,CANDIDATE
164,7626506,K00150.02,Kepler-112 c,CONFIRMED,CANDIDATE
165,2307199,K00151.01,,CANDIDATE,CANDIDATE
166,8394721,K00152.01,Kepler-79 d,CONFIRMED,CANDIDATE
167,8394721,K00152.02,Kepler-79 c,CONFIRMED,CANDIDATE
168,8394721,K00152.03,Kepler-79 b,CONFIRMED,CANDIDATE
169,8394721,K00152.04,Kepler-79 e,CONFIRMED,CANDIDATE
170,12252424,K00153.01,Kepler-113 c,CONFIRMED,CANDIDATE
171,12252424,K00153.02,Kepler-113 b,CONFIRMED,CANDIDATE
172,9970525,K00154.01,,FALSE POSITIVE,FALSE POSITIVE
173,8030148,K00155.01,Kepler-474 b,CONFIRMED,CANDIDATE
174,10925104,K00156.01,Kepler-114 c,CONFIRMED,CANDIDATE
175,10925104,K00156.02,Kepler-114 b,CONFIRMED,CANDIDATE
176,10925104,K00156.03,Kepler-114 d,CONFIRMED,CANDIDATE
177,6541920,K00157.01,Kepler-11 c,CONFIRMED,CANDIDATE
178,6541920,K00157.02,Kepler-11 d,CONFIRMED,CANDIDATE
179,6541920,K00157.03,Kepler-11 e,CONFIRMED,CANDIDATE
180,6541920,K00157.04,Kepler-11 f,CONFIRMED,CANDIDATE
181,6541920,K00157.05,Kepler-11 g,CONFIRMED,CANDIDATE
182,6541920,K00157.06,Kepler-11 b,CONFIRMED,CANDIDATE
183,10555375,K00158.01,,FALSE POSITIVE,FALSE POSITIVE
184,8972058,K00159.01,Kepler-115 c,CONFIRMED,CANDIDATE
185,8972058,K00159.02,Kepler-115 b,CONFIRMED,CANDIDATE
186,6631721,K00160.01,,FALSE POSITIVE,FALSE POSITIVE
187,5084942,K00161.01,Kepler-475 b,CONFIRMED,CANDIDATE
188,8107380,K00162.01,Kepler-476 b,CONFIRMED,CANDIDATE
189,6851425,K00163.01,Kepler-477 b,CONFIRMED,CANDIDATE
190,5652237,K00164.01,,FALSE POSITIVE,FALSE POSITIVE
191,9527915,K00165.01,Kepler-478 b,CONFIRMED,CANDIDATE
192,2441495,K00166.01,Kepler-479 b,CONFIRMED,CANDIDATE
193,11666881,K00167.01,Kepler-480 b,CONFIRMED,CANDIDATE
194,11512246,K00168.01,Kepler-23 c,CONFIRMED,CANDIDATE
195,11512246,K00168.02,Kepler-23 d,CONFIRMED,CANDIDATE
196,11512246,K00168.03,Kepler-23 b,CONFIRMED,CANDIDATE
197,6185711,K00169.01,,FALSE POSITIVE,FALSE POSITIVE
198,11044770,K00170.01,,FALSE POSITIVE,FALSE POSITIVE
199,7831264,K00171.01,Kepler-116 b,CONFIRMED,CANDIDATE
200,7831264,K00171.02,Kepler-116 c,CONFIRMED,CANDIDATE
201,8692861,K00172.01,Kepler-69 b,CONFIRMED,CANDIDATE
202,8692861,K00172.02,Kepler-69 c,CONFIRMED,CANDIDATE
203,11402995,K00173.01,Kepler-481 b,CONFIRMED,CANDIDATE
204,10810838,K00174.01,Kepler-482 b,CONFIRMED,CANDIDATE
205,8323753,K00175.01,,FALSE POSITIVE,FALSE POSITIVE
206,6442377,K00176.01,Kepler-483 b,CONFIRMED,CANDIDATE
207,6803202,K00177.01,Kepler-1711 b,CONFIRMED,CANDIDATE
208,11455491,K00178.01,,FALSE POSITIVE,FALSE POSITIVE
209,9663113,K00179.01,Kepler-458 c,CONFIRMED,CANDIDATE
210,9663113,K00179.02,Kepler-458 b,CONFIRMED,CANDIDATE
211,9573539,K00180.01,Kepler-484 b,CONFIRMED,CANDIDATE
212,12504988,K00181.01,,FALSE POSITIVE,FALSE POSITIVE
213,5376836,K00182.01,,FALSE POSITIVE,FALSE POSITIVE
214,9651668,K00183.01,Kepler-423 b,CONFIRMED,CANDIDATE
215,7972785,K00184.01,,FALSE POSITIVE,FALSE POSITIVE
216,4178389,K00185.01,,CANDIDATE,CANDIDATE
217,12019440,K00186.01,Kepler-485 b,CONFIRMED,CANDIDATE
218,7023960,K00187.01,,FALSE POSITIVE,FALSE POSITIVE
219,5357901,K00188.01,Kepler-425 b,CONFIRMED,CANDIDATE
220,11391018,K00189.01,Kepler-486 b,CONFIRMED,CANDIDATE
221,5771719,K00190.01,,FALSE POSITIVE,FALSE POSITIVE
222,5972334,K00191.01,Kepler-487 b,CONFIRMED,CANDIDATE
223,5972334,K00191.02,Kepler-487 d,CONFIRMED,CANDIDATE
224,5972334,K00191.03,,CANDIDATE,CANDIDATE
225,5972334,K00191.04,Kepler-487 c,CONFIRMED,CANDIDATE
226,7950644,K00192.01,Kepler-427 b,CONFIRMED,CANDIDATE
227,10799735,K00193.01,,FALSE POSITIVE,FALSE POSITIVE
228,10904857,K00194.01,Kepler-488 b,CONFIRMED,CANDIDATE
229,11502867,K00195.01,Kepler-426 b,CONFIRMED,CANDIDATE
230,9410930,K00196.01,Kepler-41 b,CONFIRMED,CANDIDATE
231,2987027,K00197.01,Kepler-489 b,CONFIRMED,CANDIDATE
232,10666242,K00198.01,,FALSE POSITIVE,FALSE POSITIVE
233,10019708,K00199.01,Kepler-490 b,CONFIRMED,CANDIDATE
234,10019708,K00199.02,,FALSE POSITIVE,FALSE POSITIVE
235,6046540,K00200.01,Kepler-74 b,CONFIRMED,CANDIDATE
236,6849046,K00201.01,Kepler-491 b,CONFIRMED,CANDIDATE
237,7877496,K00202.01,Kepler-412 b,CONFIRMED,CANDIDATE
238,10619192,K00203.01,Kepler-17 b,CONFIRMED,CANDIDATE
239,9305831,K00204.01,Kepler-44 b,CONFIRMED,CANDIDATE
240,7046804,K00205.01,Kepler-492 b,CONFIRMED,CANDIDATE
241,5728139,K00206.01,Kepler-433 b,CONFIRMED,CANDIDATE
242,3762468,K00208.01,Kepler-493 b,CONFIRMED,CANDIDATE
243,10723750,K00209.01,Kepler-117 c,CONFIRMED,CANDIDATE
244,10723750,K00209.02,Kepler-117 b,CONFIRMED,CANDIDATE
245,10602291,K00210.01,,CANDIDATE,CANDIDATE
246,10656508,K00211.01,,CANDIDATE,CANDIDATE
247,6300348,K00212.01,,CANDIDATE,CANDIDATE
248,9164836,K00213.01,,FALSE POSITIVE,FALSE POSITIVE
249,11046458,K00214.01,Kepler-424 b,CONFIRMED,CANDIDATE
250,12508335,K00215.01,,FALSE POSITIVE,FALSE POSITIVE
251,6152974,K00216.01,Kepler-118 c,CONFIRMED,CANDIDATE
252,6152974,K00216.02,Kepler-118 b,CONFIRMED,CANDIDATE
253,9595827,K00217.01,Kepler-71 b,CONFIRMED,CANDIDATE
254,9838975,K00218.01,,FALSE POSITIVE,FALSE POSITIVE
255,6305192,K00219.01,Kepler-494 b,CONFIRMED,CANDIDATE
256,7132798,K00220.01,Kepler-119 b,CONFIRMED,CANDIDATE
257,7132798,K00220.02,Kepler-119 c,CONFIRMED,CANDIDATE
258,3937519,K00221.01,Kepler-495 b,CONFIRMED,CANDIDATE
259,3937519,K00221.02,Kepler-495 c,CONFIRMED,CANDIDATE
260,4249725,K00222.01,Kepler-120 b,CONFIRMED,CANDIDATE
261,4249725,K00222.02,Kepler-120 c,CONFIRMED,CANDIDATE
262,4545187,K00223.01,Kepler-121 b,CONFIRMED,CANDIDATE
263,4545187,K00223.02,Kepler-121 c,CONFIRMED,CANDIDATE
264,5547480,K00224.01,,FALSE POSITIVE,FALSE POSITIVE
265,5801571,K00225.01,,FALSE POSITIVE,FALSE POSITIVE
266,5959753,K00226.01,Kepler-496 b,CONFIRMED,CANDIDATE
267,6185476,K00227.01,,CANDIDATE,CANDIDATE
268,3847907,K00229.01,Kepler-497 b,CONFIRMED,CANDIDATE
269,3862246,K00230.01,,FALSE POSITIVE,FALSE POSITIVE
270,4043443,K00231.01,,FALSE POSITIVE,FALSE POSITIVE
271,4833421,K00232.01,Kepler-122 c,CONFIRMED,CANDIDATE
272,4833421,K00232.02,Kepler-122 b,CONFIRMED,CANDIDATE
273,4833421,K00232.03,Kepler-122 d,CONFIRMED,CANDIDATE
274,4833421,K00232.04,Kepler-122 e,CONFIRMED,CANDIDATE
275,4833421,K00232.05,Kepler-122 f,CONFIRMED,CANDIDATE
276,5023956,K00233.01,,FALSE POSITIVE,FALSE POSITIVE
277,8491277,K00234.01,Kepler-498 b,CONFIRMED,CANDIDATE
278,8107225,K00235.01,Kepler-499 b,CONFIRMED,CANDIDATE
279,8453211,K00236.01,,FALSE POSITIVE,FALSE POSITIVE
280,8041216,K00237.01,Kepler-500 b,CONFIRMED,CANDIDATE
281,7219825,K00238.01,Kepler-123 b,CONFIRMED,CANDIDATE
282,7219825,K00238.02,Kepler-123 c,CONFIRMED,CANDIDATE
283,7219825,K00238.03,,CANDIDATE,CANDIDATE
284,6383785,K00239.01,Kepler-501 b,CONFIRMED,CANDIDATE
285,6383785,K00239.02,Kepler-501 c,CONFIRMED,CANDIDATE
286,8026752,K00240.01,Kepler-502 b,CONFIRMED,CANDIDATE
287,11288051,K00241.01,Kepler-124 c,CONFIRMED,CANDIDATE
288,11288051,K00241.02,Kepler-124 d,CONFIRMED,CANDIDATE
289,11288051,K00241.03,Kepler-124 b,CONFIRMED,CANDIDATE
290,3642741,K00242.01,Kepler-503 b,FALSE POSITIVE,CANDIDATE
291,9592579,K00243.01,,FALSE POSITIVE,FALSE POSITIVE
292,4349452,K00244.01,Kepler-25 c,CONFIRMED,CANDIDATE
293,4349452,K00244.02,Kepler-25 b,CONFIRMED,CANDIDATE
294,8478994,K00245.01,Kepler-37 d,CONFIRMED,CANDIDATE
295,8478994,K00245.02,Kepler-37 c,CONFIRMED,CANDIDATE
296,8478994,K00245.03,Kepler-37 b,CONFIRMED,CANDIDATE
297,8478994,K00245.04,Kepler-37 e,CONFIRMED,FALSE POSITIVE
298,11295426,K00246.01,Kepler-68 b,CONFIRMED,CANDIDATE
299,11295426,K00246.02,Kepler-68 c,CONFIRMED,CANDIDATE
300,11852982,K00247.01,Kepler-1712 b,CONFIRMED,CANDIDATE
301,5364071,K00248.01,Kepler-49 b,CONFIRMED,CANDIDATE
302,5364071,K00248.02,Kepler-49 c,CONFIRMED,CANDIDATE
303,5364071,K00248.03,Kepler-49 d,CONFIRMED,CANDIDATE
304,5364071,K00248.04,Kepler-49 e,CONFIRMED,CANDIDATE
305,9390653,K00249.01,Kepler-504 b,CONFIRMED,CANDIDATE
306,9757613,K00250.01,Kepler-26 b,CONFIRMED,CANDIDATE
307,9757613,K00250.02,Kepler-26 c,CONFIRMED,CANDIDATE
308,9757613,K00250.03,Kepler-26 d,CONFIRMED,CANDIDATE
309,9757613,K00250.04,Kepler-26 e,CONFIRMED,CANDIDATE
310,10489206,K00251.01,Kepler-125 b,CONFIRMED,CANDIDATE
311,10489206,K00251.02,Kepler-125 c,CONFIRMED,CANDIDATE
312,11187837,K00252.01,Kepler-1663 b,CONFIRMED,CANDIDATE
313,11752906,K00253.01,Kepler-2000 b,CONFIRMED,CANDIDATE
314,11752906,K00253.02,Kepler-2000 c,CONFIRMED,CANDIDATE
315,5794240,K00254.01,Kepler-45 b,CONFIRMED,CANDIDATE
316,7021681,K00255.01,Kepler-505 b,CONFIRMED,CANDIDATE
317,7021681,K00255.02,,CANDIDATE,CANDIDATE
318,7021681,K00255.03,,FALSE POSITIVE,FALSE POSITIVE
319,11548140,K00256.01,,FALSE POSITIVE,FALSE POSITIVE
320,5514383,K00257.01,Kepler-506 b,CONFIRMED,CANDIDATE
321,11231334,K00258.01,,FALSE POSITIVE,FALSE POSITIVE
322,5790807,K00259.01,,FALSE POSITIVE,FALSE POSITIVE
323,8292840,K00260.01,Kepler-126 b,CONFIRMED,CANDIDATE
324,8292840,K00260.02,Kepler-126 d,CONFIRMED,CANDIDATE
325,8292840,K00260.03,Kepler-126 c,CONFIRMED,CANDIDATE
326,5383248,K00261.01,Kepler-96 b,CONFIRMED,CANDIDATE
327,11807274,K00262.01,Kepler-50 b,CONFIRMED,CANDIDATE
328,11807274,K00262.02,Kepler-50 c,CONFIRMED,CANDIDATE
329,10514430,K00263.01,,FALSE POSITIVE,FALSE POSITIVE
330,3097346,K00264.01,,FALSE POSITIVE,FALSE POSITIVE
331,12024120,K00265.01,Kepler-507 b,CONFIRMED,CANDIDATE
332,7375348,K00266.01,Kepler-508 b,CONFIRMED,CANDIDATE
333,7375348,K00266.02,,CANDIDATE,CANDIDATE
334,8167959,K00267.01,,FALSE POSITIVE,FALSE POSITIVE
335,3425851,K00268.01,,CANDIDATE,CANDIDATE
336,7670943,K00269.01,Kepler-1713 b,CONFIRMED,CANDIDATE
337,6528464,K00270.01,Kepler-449 b,CONFIRMED,CANDIDATE
338,6528464,K00270.02,Kepler-449 c,CONFIRMED,CANDIDATE
339,9451706,K00271.01,Kepler-127 d,CONFIRMED,CANDIDATE
340,9451706,K00271.02,Kepler-127 c,CONFIRMED,CANDIDATE
341,9451706,K00271.03,Kepler-127 b,CONFIRMED,CANDIDATE
342,5716763,K00272.01,,CANDIDATE,CANDIDATE
343,3102384,K00273.01,Kepler-454 b,CONFIRMED,CANDIDATE
344,8077137,K00274.01,Kepler-128 b,CONFIRMED,CANDIDATE
345,8077137,K00274.02,Kepler-128 c,CONFIRMED,CANDIDATE
346,10586004,K00275.01,Kepler-129 b,CONFIRMED,CANDIDATE
347,10586004,K00275.02,Kepler-129 c,CONFIRMED,CANDIDATE
348,11133306,K00276.01,Kepler-509 b,CONFIRMED,CANDIDATE
349,11401755,K00277.01,Kepler-36 c,CONFIRMED,CANDIDATE
350,11401755,K00277.02,Kepler-36 b,CONFIRMED,CANDIDATE
351,12314973,K00279.01,Kepler-450 b,CONFIRMED,CANDIDATE
352,12314973,K00279.02,Kepler-450 c,CONFIRMED,CANDIDATE
353,12314973,K00279.03,Kepler-450 d,CONFIRMED,CANDIDATE
354,4141376,K00280.01,Kepler-1655 b,CONFIRMED,CANDIDATE
355,4143755,K00281.01,Kepler-510 b,CONFIRMED,CANDIDATE
356,5088536,K00282.01,Kepler-130 c,CONFIRMED,CANDIDATE
357,5088536,K00282.02,Kepler-130 b,CONFIRMED,CANDIDATE
358,5088536,K00282.03,Kepler-130 d,CONFIRMED,CANDIDATE
359,5695396,K00283.01,Kepler-131 b,CONFIRMED,CANDIDATE
360,5695396,K00283.02,Kepler-131 c,CONFIRMED,CANDIDATE
361,5695396,K00283.03,,CANDIDATE,CANDIDATE
362,6021275,K00284.01,Kepler-132 d,CONFIRMED,CANDIDATE
363,6021275,K00284.02,Kepler-132 c,CONFIRMED,CANDIDATE
364,6021275,K00284.03,Kepler-132 b,CONFIRMED,CANDIDATE
365,6021275,K00284.04,Kepler-132 e,CONFIRMED,CANDIDATE
366,6196457,K00285.01,Kepler-92 b,CONFIRMED,CANDIDATE
367,6196457,K00285.02,Kepler-92 c,CONFIRMED,CANDIDATE
368,6196457,K00285.03,Kepler-92 d,CONFIRMED,CANDIDATE
369,8258171,K00286.01,,FALSE POSITIVE,FALSE POSITIVE
370,8703887,K00287.01,,FALSE POSITIVE,FALSE POSITIVE
371,9592705,K00288.01,Kepler-1714 b,CONFIRMED,CANDIDATE
372,10386922,K00289.01,Kepler-511 c,CONFIRMED,CANDIDATE
373,10386922,K00289.02,Kepler-511 b,CONFIRMED,CANDIDATE
374,10488450,K00290.01,,FALSE POSITIVE,FALSE POSITIVE
375,10933561,K00291.01,Kepler-133 c,CONFIRMED,CANDIDATE
376,10933561,K00291.02,Kepler-133 b,CONFIRMED,CANDIDATE
377,11075737,K00292.01,Kepler-97 b,CONFIRMED,CANDIDATE
378,11200415,K00293.01,,FALSE POSITIVE,FALSE POSITIVE
379,11259686,K00294.01,Kepler-512 b,CONFIRMED,CANDIDATE
380,11547513,K00295.01,Kepler-134 b,CONFIRMED,CANDIDATE
381,11547513,K00295.02,Kepler-134 c,CONFIRMED,CANDIDATE
382,11802615,K00296.01,Kepler-513 b,CONFIRMED,CANDIDATE
383,11905011,K00297.01,Kepler-514 b,CONFIRMED,CANDIDATE
384,12785320,K00298.01,Kepler-515 b,CONFIRMED,CANDIDATE
385,12785320,K00298.02,,CANDIDATE,CANDIDATE
386,2692377,K00299.01,Kepler-98 b,CONFIRMED,CANDIDATE
